轉系,104人力銀行,104學測網絡
中文系,人類學系,中國文學系
人類系,公共衛生學系,人類學系
公衛系,動物科學學系,公共衛生學系
動物科技系,化學工程學系,動物科學技術學系
化學系,化學系,化學工程學系
化工系,史學系,化學系
哲學系,哲學系,哲學系
國企系,國文學系,國際企業學系
園藝系,國際企業學系,園藝暨景觀學系
圖資系,園藝暨景觀學系,圖書資訊學系
土木系,圖書資訊學系,土木工程學系
地理系,土木工程學系,地理環境資源學系
地質系,地理環境資源學系,地質科學系
外文系,地質學系,外國語文學系
大氣系,外國語文學系,大氣科學系
工科海洋系,大氣科學系,工商管理學系企業管理組
工管系企管組,工商管理學系,工商管理學系科技管理組
工管系科管組,工程科學學系,工程科學及海洋工程學系
心理系,心理學系,心理學系
戲劇系,戲劇學系,戲劇學系
政治系公行組,政治學系,政治學系公共行政組
政治系國關組,數學系,政治學系國際關係組
政治系政論組,日本語文學系,政治學系政治理論組
數學系,昆蟲學系,數學系
日文系,會計與資訊科技學系,日本語文學系
昆蟲系,材料科學學系,昆蟲學系
會計系,森林環境暨資源學系,會計學系
材料系,植物病理學系,材料科學與工程學系
森林環資系,機械工程學系,森林環境暨資源學系
植微系,法律學系,植物病理與微生物學系
機械系,牙醫學系,機械工程學系
歷史系,物理學系,歷史學系
法律系司法組,物理治療系,法律學系司法組
法律系法學組,獸醫學系,法律學系法學組
法律系財法組,生化科技學系,法律學系財經法學組
牙醫系,生命科學系,牙醫學系
物治系,生物機電工程學系,物理學系
物理系,生物環境工程學系,物理治療學系
獸醫系,生物產業傳播暨發展學系,獸醫學系
生傳系,社會學系,生化科技學系
生工系,社會工作學系,生命科學系
生技系,經濟學系,生物環境系統工程學系
生物機電系,職能治療學系,生物產業傳播暨發展學系
生科系,藥學系,生物產業機電工程學系
社工系,護理學系,社會學系
社會系,財務金融學系,社會工作學系
經濟系,資訊工程學系,經濟學系
職治系,資訊管理學系,職能治療學系
藥學系,農業化學系,藥學系
護理系,農業經濟學系,護理學系
財金系,農藝學系,護理學系(公費生)
資工系,醫學檢驗生物技術學系,財務金融學系
資管系,醫學系,資訊工程學系
農化系,電機工程學系,資訊管理學系
農經系,人類學系,農業化學系
農藝系,公共衛生學系,農業經濟學系
醫學系,動物科學學系,農藝學系
醫技系,化學工程學系,醫學檢驗暨生物技術學系
電機系,化學系,醫學系
中文系,史學系,電機工程學系
