transfer,work104,college104,college104_id
中文系,國文學系,中國文學系,001012
人類系,人類學系,人類學系,001052
公衛系,公共衛生學系,公共衛生學系,001522
動物科技系,動物科學學系,動物科學技術學系,001382
化工系,化學工程學系,化學工程學系,001312
化學系,化學系,化學系,001112
哲學系,哲學系,哲學系,001042
國企系,國際企業學系,國際企業學系,001502
園藝系,園藝暨景觀學系,園藝暨景觀學系,001402
圖資系,圖書資訊學系,圖書資訊學系,001062
土木系,土木工程學系,土木工程學系,001292
地理系,地理環境資源學系,地理環境資源學系,001142
地質系,地質學系,地質科學系,001122
外文系,外國語文學系,外國語文學系,001022
大氣系,大氣科學系,大氣科學系,001152
工管系企管組,工商管理學系,工商管理學系企業管理組,001462
工管系科管組,工商管理學系,工商管理學系科技管理組,001472
工科海洋系,工程科學學系,工程科學及海洋工程學系,001322
心理系,心理學系,心理學系,001132
戲劇系,戲劇學系,戲劇學系,001082
政治系公行組,政治學系,政治學系公共行政組,001182
政治系國關組,政治學系,政治學系國際關係組,001172
政治系政論組,政治學系,政治學系政治理論組,001162
數學系,數學系,數學系,001092
日文系,日本語文學系,日本語文學系,001072
昆蟲系,昆蟲學系,昆蟲學系,001442
會計系,會計與資訊科技學系,會計學系,001482
材料系,材料科學學系,材料科學與工程學系,001332
森林環資系,森林環境暨資源學系,森林環境暨資源學系,001372
植微系,植物病理學系,植物病理與微生物學系,001452
機械系,機械工程學系,機械工程學系,001302
歷史系,史學系,歷史學系,001032
法律系司法組,法律學系,法律學系司法組,001562
法律系法學組,法律學系,法律學系法學組,001552
法律系財法組,法律學系,法律學系財經法學組,001572
牙醫系,牙醫學系,牙醫學系,001232
物理系,物理學系,物理學系,001102
物治系,物理治療系,物理治療學系,001272
獸醫系,獸醫學系,獸醫學系,001412
生技系,生化科技學系,生化科技學系,001592
生工系,生物環境工程學系,生物環境系統工程學系,001352
生物機電系,生物機電工程學系,生物產業機電工程學系,001432
生傳系,生物產業傳播暨發展學系,生物產業傳播暨發展學系,001422
生科系,生命科學系,生命科學系,001582
社工系,社會工作學系,社會工作學系,001212
社會系,社會學系,社會學系,001202
經濟系,經濟學系,經濟學系,001192
職治系,職能治療學系,職能治療學系,001282
藥學系,藥學系,藥學系,001242
護理系,護理學系,護理學系,001262
護理系,護理學系,護理學系(公費生),001602
財金系,財務金融學系,財務金融學系,001492
資工系,資訊工程學系,資訊工程學系,001542
資管系,資訊管理學系,資訊管理學系,001512
農化系,農業化學系,農業化學系,001362
農經系,農業經濟學系,農業經濟學系,001392
農藝系,農藝學系,農藝學系,001342
醫技系,醫學檢驗生物技術學系,醫學檢驗暨生物技術學系,001252
醫學系,醫學系,醫學系,001222
電機系,電機工程學系,電機工程學系,001532
