Label,college,pageranks,Degree,eigencentrality,clustering
"中國文學系",文學院,0.013248,7,0.114579,0.52381
"歷史學系",文學院,0.018895,9,0.13823,0.388889
"外國語文學系",文學院,0.024068,19,0.495438,0.327485
"戲劇學系",文學院,0.008036,5,0.0691,0.4
"政治學系政治理論組",社科學院,0.013734,7,0.098986,0.666667
"圖書資訊學系",文學院,0.018235,9,0.10137,0.527778
"生物產業傳播暨發展學系",生農學院,0.01658,17,0.531497,0.279412
"日本語文學系",文學院,0.010274,5,0.069148,0.8
"化學工程學系",工學院,0.04134,25,1,0.366667
"生化科技學系",生命科學院,0.013876,12,0.437191,0.393939
"化學系",理學院,0.017035,16,0.695436,0.525
"農業化學系",生農學院,0.011767,9,0.320552,0.555556
"生命科學系",生命科學院,0.015617,13,0.361409,0.410256
"醫學檢驗暨生物技術學系",醫學院,0.007594,5,0.166269,0.6
"心理學系",理學院,0.009228,11,0.544144,0.6
"資訊工程學系",電資學院,0.044293,22,0.947763,0.450216
"農藝學系",生農學院,0.015546,9,0.24,0.583333
"職能治療學系",醫學院,0.016929,11,0.349731,0.418182
"生物環境系統工程學系",生農學院,0.01554,13,0.545344,0.589744
"森林環境暨資源學系",生農學院,0.028569,20,0.531265,0.273684
"園藝暨景觀學系",生農學院,0.024038,16,0.46667,0.35
"獸醫學系",生農學院,0.006628,5,0.18395,0.3
"公共衛生學系",公衛學院,0.015261,14,0.455129,0.340659
"動物科學技術學系",生農學院,0.007005,5,0.171167,0.7
"物理治療學系",醫學院,0.012699,7,0.151273,0.428571
"土木工程學系",工學院,0.02916,21,0.863949,0.4
"植物病理與微生物學系",生農學院,0.007212,5,0.138785,0.9
"法律學系財經法學組",法律學院,0.015417,8,0.343852,0.928571
"法律學系司法組",法律學院,0.016455,11,0.441673,0.618182
"法律學系法學組",法律學院,0.014682,10,0.356535,0.6
"財務金融學系",管理學院,0.035079,20,0.786181,0.426316
"會計學系",管理學院,0.029702,18,0.825437,0.542484
"工商管理學系企業管理組",管理學院,0.025567,13,0.537702,0.641026
"國際企業學系",管理學院,0.034906,16,0.710887,0.575
"經濟學系",社科學院,0.033592,19,0.77655,0.409357
"政治學系公共行政組",社科學院,0.017309,9,0.153421,0.527778
"政治學系國際關係組",社科學院,0.012918,9,0.241918,0.527778
"大氣科學系",理學院,0.012052,13,0.587275,0.564103
"機械工程學系",工學院,0.044987,22,0.963955,0.458874
"電機工程學系",電資學院,0.041879,15,0.657022,0.542857
"物理學系",理學院,0.017754,10,0.489248,0.755556
"材料科學與工程學系",工學院,0.022268,11,0.559906,0.727273
"資訊管理學系",管理學院,0.021142,13,0.679846,0.679487
"數學系",理學院,0.007601,6,0.301319,0.533333
"生物產業機電工程學系",生農學院,0.010123,11,0.544373,0.6
"工商管理學系科技管理組",管理學院,0.016529,13,0.654917,0.692308
"工程科學及海洋工程學系",工學院,0.014526,11,0.558241,0.763636
"地質科學系",理學院,0.01509,11,0.504983,0.654545
"藥學系",醫學院,0.010484,10,0.43184,0.488889
"醫學系",醫學院,0.003565,2,0.099311,1
"農業經濟學系",生農學院,0.005073,4,0.157875,0.833333
"護理學系",醫學院,0.004477,2,0.044212,1
"牙醫學系",醫學院,0.003677,2,0.079487,0
"昆蟲學系",生農學院,0.005865,3,0.089723,1
"地理環境資源學系",理學院,0.007533,7,0.276845,0.333333
"社會工作學系",社科學院,0.011156,6,0.080965,0.466667
"社會學系",社科學院,0.010509,6,0.09035,0.8
"哲學系",文學院,0.011647,5,0.032891,0.4
"人類學系",文學院,0.004029,1,0.003453,0
