Id,groups_transfer,groups_104,college,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd,transfer_pageranks,indegree,outdegree,Degree,pageranks
"哲學系",1,2,文學院,19.290372,20.582155,19.684108,20.925604,0.023731,3,5,8,0.044847
"政治學系政治理論組",7,1,社科學院,18.713994,18.746462,15.612967,16.985166,0.014251,5,5,10,0.049482
"法律學系財經法學組",1,11,法律學院,19.048279,10.240727,10.409469,12.908554,0.029998,6,1,7,0.092542
"社會工作學系",2,1,社科學院,20.426396,19.362729,16.184578,19.090417,0.017487,1,5,6,0.098216
"法律學系法學組",2,11,法律學院,19.048279,10.240727,10.409469,12.908554,0.027385,3,0,3,0.140871
"歷史學系",8,1,文學院,15.424893,17.807138,16.894231,17.568168,0.018921,4,4,8,0.038509
"社會學系",1,1,社科學院,20.110526,21.641627,18.434683,18.503596,0.021717,2,4,6,0.040327
"外國語文學系",1,1,文學院,17.181577,19.047069,15.96096,17.604179,0.04137,3,4,7,0.04031
"經濟學系",11,5,社科學院,17.68835,19.574009,15.387759,15.049131,0.044758,9,1,10,0.095025
"法律學系司法組",6,11,法律學院,19.048279,10.240727,10.409469,12.908554,0.022839,6,0,6,0.073861
"中國文學系",1,1,文學院,16.254137,16.490831,14.501162,17.081837,0.019705,4,5,9,0.041047
"人類學系",1,2,文學院,20.405451,19.867586,18.686434,19.174397,0.006637,0,6,6,0.01956
"日本語文學系",8,2,文學院,19.536839,21.105615,18.695292,18.446078,0.011053,2,4,6,0.02775
"政治學系公共行政組",1,1,社科學院,18.713994,18.746462,15.612967,16.985166,0.025316,4,6,10,0.065748
"政治學系國際關係組",6,1,社科學院,18.713994,18.746462,15.612967,16.985166,0.019088,5,3,8,0.081856
"戲劇學系",2,2,文學院,20.229069,23.680584,20.419783,23.755842,0.008423,1,2,3,0.024902
"圖書資訊學系",5,1,文學院,19.51069,21.598417,18.784011,20.21074,0.00653,1,4,5,0.025148
