Id,ntuapplic_pageranks,ntuApplic_arts_pageranks,ntuApplic_nonArts_pageranks
"中國文學系",0.013248,0.058156,0
"歷史學系",0.018895,0.083298,0
"外國語文學系",0.024068,0.08882,0
"戲劇學系",0.008036,0.029141,0
"政治學系政治理論組",0.013734,0.06314,0
"圖書資訊學系",0.018235,0.081423,0
"生物產業傳播暨發展學系",0.01658,0,0.016718
"日本語文學系",0.010274,0.044461,0
"化學工程學系",0.04134,0,0.060046
"生化科技學系",0.013876,0,0.020011
"化學系",0.017035,0,0.024613
"農業化學系",0.011767,0,0.016929
"生命科學系",0.015617,0,0.022751
"醫學檢驗暨生物技術學系",0.007594,0,0.010904
"心理學系",0.009228,0,0.01239
"資訊工程學系",0.044293,0,0.063083
"農藝學系",0.015546,0,0.022587
"職能治療學系",0.016929,0,0.024737
"生物環境系統工程學系",0.01554,0,0.022465
"森林環境暨資源學系",0.028569,0,0.040234
"園藝暨景觀學系",0.024038,0,0.035401
"獸醫學系",0.006628,0,0.009503
"公共衛生學系",0.015261,0,0.019184
"動物科學技術學系",0.007005,0,0.010053
"物理治療學系",0.012699,0,0.018646
"土木工程學系",0.02916,0,0.040672
"植物病理與微生物學系",0.007212,0,0.01036
"法律學系財經法學組",0.015417,0.069807,0
"法律學系司法組",0.016455,0.08206,0
"法律學系法學組",0.014682,0.082344,0
"財務金融學系",0.035079,0,0.03658
"會計學系",0.029702,0,0.031179
"工商管理學系企業管理組",0.025567,0,0.024496
"國際企業學系",0.034906,0,0.035021
"經濟學系",0.033592,0.023168,0
"政治學系公共行政組",0.017309,0.082071,0
"政治學系國際關係組",0.012918,0.055862,0
"大氣科學系",0.012052,0,0.016703
"機械工程學系",0.044987,0,0.064353
"電機工程學系",0.041879,0,0.060583
"物理學系",0.017754,0,0.025723
"材料科學與工程學系",0.022268,0,0.032183
"資訊管理學系",0.021142,0,0.027447
"數學系",0.007601,0,0.010046
"生物產業機電工程學系",0.010123,0,0.014071
"工商管理學系科技管理組",0.016529,0,0.020726
"工程科學及海洋工程學系",0.014526,0,0.02054
"地質科學系",0.01509,0,0.021816
"藥學系",0.010484,0,0.015117
"醫學系",0.003565,0,0.005045
"農業經濟學系",0.005073,0,0.006928
"護理學系",0.004477,0,0.006548
"牙醫學系",0.003677,0,0.005216
"昆蟲學系",0.005865,0,0.008418
"地理環境資源學系",0.007533,0,0.009974
"社會工作學系",0.011156,0.045968,0
"社會學系",0.010509,0.04781,0
"哲學系",0.011647,0.047579,0
"人類學系",0.004029,0.014892,0
