Id,college,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd,indegree,outdegree,Degree,pageranks
"材料科學與工程學系",工學院,25.905596,25.090285,24.619424,20.433478,1,4,5,0.049946
"電機工程學系",電資學院,19.805734,19.462495,24.131136,14.905112,12,0,12,0.271735
"化學工程學系",工學院,17.6575,19.279981,19.704176,18.271105,4,3,7,0.052679
"資訊工程學系",電資學院,13.100855,18.180595,18.451411,13.005558,4,5,9,0.059029
"大氣科學系",理學院,19.273763,19.659219,19.539685,22.167038,4,4,8,0.038314
"工程科學及海洋工程學系",工學院,20.451244,20.4714,23.800773,19.549563,7,3,10,0.06758
"地理環境資源學系",理學院,20.760037,24.65151,21.370322,22.090473,2,8,10,0.039192
"機械工程學系",工學院,18.440482,18.666867,20.357518,15.032217,5,8,13,0.09766
"心理學系",理學院,17.941233,20.705374,16.698195,15.92984,11,4,15,0.054539
"地質科學系",理學院,20.235176,24.520784,21.006814,20.135763,2,8,10,0.038314
"土木工程學系",工學院,19.059727,18.372444,18.427796,17.140572,7,7,14,0.038314
"物理學系",理學院,22.295557,22.171114,25.360784,15.342597,7,3,10,0.107295
"化學系",理學院,22.206317,21.666822,19.473544,16.167138,5,3,8,0.033662
"數學系",理學院,25.090611,25.040893,24.866464,21.230937,2,0,2,0.05174
